g_ff,g_fb,target_afr,target_kappa
0.1,0.1,0.5799419283866882,0.5392859578132629
0.1,0.3,0.5799419283866882,0.5392859578132629
0.1,0.6,0.5799419283866882,0.5392859578132629
0.1,1.2,0.5799419283866882,0.5392859578132629
0.5,0.1,0.5599439740180969,0.5392859578132629
0.5,0.3,0.5599439740180969,0.5392859578132629
0.5,0.6,0.5599439740180969,0.5392859578132629
0.5,1.2,0.5599439740180969,0.5392859578132629
1.0,0.1,0.5599439740180969,0.5392859578132629
1.0,0.3,0.5599439740180969,0.5392859578132629
1.0,0.6,0.5599439740180969,0.5392859578132629
1.0,1.2,0.5599439740180969,0.5392859578132629
2.0,0.1,0.5199479460716248,0.5392859578132629
2.0,0.3,0.5199479460716248,0.5392859578132629
2.0,0.6,0.5199479460716248,0.5392859578132629
2.0,1.2,0.5199479460716248,0.5392859578132629
